Year,NSW,QLD,VIC,SA,WA,Jun_SOI,Jul_SOI,Aug_SOI,Jun_NiNO3.4,Jul_NiNO3.4,Aug_NiNO3.4,Jun_MEI,Jul_MEI,Aug_MEI,Jun_phase,Jul_phase,Aug_phase,Jan_SOI,Feb_SOI,Mar_SOI,Apr_SOI,May_SOI,Jan_phase,Feb_phase,Mar_phase,Apr_phase,May_phase
1945,-53.57,-31.35,-19.2,2.03,-17.53,6.5,3.3,11.2,27.09,26.62,26.03,0.024,-0.362,-0.645,phase4,phase2,phase4,4.5,5.7,10.8,-6.7,0.3,phase5,phase2,phase2,phase3,phase4
1946,-36.05,-39.68,-51.42,-11.49,-18.5,-8.8,-9.5,-4,27.83,27.26,26.36,-0.193,-0.072,-0.043,phase1,phase1,phase1,-3.1,3.7,-2.7,-8.9,-10,phase3,phase4,phase5,phase5,phase1
1947,30.33,40.3,23.33,25.11,19.34,1.7,8.7,6.9,27.75,26.83,26.51,-0.157,-0.177,-0.476,phase4,phase4,phase2,-5.5,-5.2,9.4,-4.5,-12.2,phase5,phase5,phase4,phase3,phase3
1948,-39.13,-42.55,18.74,-23.45,-17.94,-4.6,0.8,-4,27.75,27.16,26.85,0.18,0.067,-0.042,phase3,phase4,phase5,-3.6,-3.7,-4.6,2.1,4,phase5,phase5,phase5,phase4,phase5
1949,75.08,68.77,81.15,22.12,-1.05,-10.9,-1.6,-4,26.97,26.84,26.56,0.007,-0.519,-0.698,phase3,phase4,phase5,-7.9,1.2,4.1,0.6,-4.8,phase5,phase4,phase5,phase5,phase5
1950,114.43,129.04,21.46,20.7,11.29,22.6,19.6,11.8,26.82,26.14,26.24,-1.412,-1.269,-1.042,phase4,phase2,phase2,4.5,17,14.6,13.8,7.7,phase2,phase4,phase2,phase2,phase2
1951,-40.9,-45.22,-31.52,-23.89,-20.4,-1.8,-12.5,-5.2,27.6,27.88,27.77,0.288,0.679,0.818,phase4,phase3,phase1,12.7,5.7,-5.5,-7.4,-11.5,phase2,phase2,phase3,phase5,phase1
1952,7.98,15.62,88.23,15.55,-7.95,5.8,4.5,-2.2,27.03,26.63,26.45,-0.756,-0.305,-0.374,phase2,phase2,phase5,-8.9,-8.1,0.2,-6.7,7.7,phase1,phase1,phase4,phase3,phase4
1953,-15.03,-30.91,56.66,-14.68,-12.64,-2.5,-1,-16.1,28.1,27.42,26.91,0.191,0.382,0.209,phase4,phase5,phase3,1.6,-7.1,-6,-0.8,-25.5,phase4,phase3,phase5,phase5,phase3
1954,50.84,26.72,16.8,-4.9,-8.57,-2.5,3.3,9.4,26.88,26.2,25.8,-1.558,-1.355,-1.456,phase5,phase4,phase4,5,-5.2,-2.2,5,4,phase4,phase3,phase5,phase4,phase5
